n_features,ACC,NMI,baseline_ACC,baseline_NMI
50,0.10966666666666666,0.026710989735463733,0.5353333333333333,0.47985838914426393
100,0.15,0.12056694252006274,0.5353333333333333,0.47985838914426393
150,0.22933333333333333,0.1879702573862719,0.5353333333333333,0.47985838914426393
200,0.3253333333333333,0.2401210535010166,0.5353333333333333,0.47985838914426393
250,0.3893333333333333,0.28749324784377583,0.5353333333333333,0.47985838914426393
300,0.4653333333333333,0.4027408343679805,0.5353333333333333,0.47985838914426393
