Alpha/Beta	0.001	0.003	0.01	0.03	0.1	0.3	1.0	3.0	10.0	30.0	100.0	300.0	1000.0
0.001	0.118000	0.117333	0.117333	0.117333	0.117667	0.117667	0.117667	0.113333	0.113333	0.114000	0.119333	0.119333	0.118000
0.003	0.117667	0.118667	0.116667	0.116667	0.117667	0.117667	0.113333	0.113333	0.113333	0.114000	0.119333	0.119333	0.118000
0.01	0.122667	0.119000	0.116667	0.116667	0.113333	0.113333	0.113333	0.113333	0.113333	0.114000	0.117667	0.117667	0.118000
0.03	0.129333	0.125333	0.117667	0.118667	0.118667	0.118667	0.118667	0.118667	0.118667	0.116667	0.117667	0.117667	0.116667
0.1	0.155000	0.138667	0.120667	0.125333	0.120000	0.120000	0.120000	0.120000	0.120000	0.117667	0.117667	0.118667	0.116667
0.3	0.160333	0.158667	0.138000	0.129000	0.129000	0.129000	0.129333	0.129333	0.129333	0.123000	0.118000	0.119000	0.113667
1.0	0.228333	0.171000	0.160000	0.160667	0.153333	0.152000	0.150000	0.150000	0.152667	0.139000	0.139667	0.123333	0.118000
3.0	0.353000	0.258000	0.180333	0.164000	0.157333	0.161000	0.161000	0.161000	0.161000	0.163000	0.148667	0.139000	0.128000
10.0	0.528667	0.360667	0.329000	0.239667	0.237667	0.185667	0.207667	0.195333	0.201000	0.160333	0.158667	0.150667	0.139000
30.0	0.544333	0.572333	0.440333	0.347000	0.302000	0.333667	0.318000	0.298333	0.299000	0.228333	0.174000	0.159333	0.150667
100.0	0.562333	0.548333	0.521000	0.507333	0.507000	0.450000	0.571000	0.513000	0.356000	0.331667	0.229000	0.170000	0.160667
300.0	0.513667	0.534667	0.541667	0.547333	0.533333	0.526667	0.522000	0.533000	0.519333	0.326333	0.314667	0.229000	0.164667
1000.0	0.503667	0.510667	0.574667	0.524333	0.568000	0.504333	0.536333	0.532667	0.522667	0.515333	0.326333	0.337333	0.229000
